2018-12-13 14:09:42,645 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 14:09:42,645 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 14:09:42,646 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 14:09:42,646 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 14:09:42,646 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:11:05,441 | Minor FoodIT | INFO | Finished
2018-12-13 14:17:37,293 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 14:17:37,293 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 14:17:37,294 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 14:17:37,294 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 14:17:37,294 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:17:50,008 | Minor FoodIT | INFO | Record created ,ID=332115
2018-12-13 14:18:06,243 | Minor FoodIT | INFO | Record created ,ID=332120
2018-12-13 14:18:15,320 | Minor FoodIT | INFO | Record created ,ID=332122
2018-12-13 14:18:26,979 | Minor FoodIT | INFO | Record created ,ID=333606
2018-12-13 14:18:35,393 | Minor FoodIT | INFO | Record created ,ID=333607
2018-12-13 14:18:41,550 | Minor FoodIT | INFO | Record created ,ID=333608
2018-12-13 14:18:47,287 | Minor FoodIT | INFO | Record created ,ID=333610
2018-12-13 14:18:57,208 | Minor FoodIT | INFO | Record created ,ID=333611
2018-12-13 14:19:05,537 | Minor FoodIT | INFO | Record created ,ID=333612
2018-12-13 14:19:12,528 | Minor FoodIT | INFO | hasNewRecordCreated is True
2018-12-13 14:19:13,569 | Minor FoodIT | INFO | Record deleted ,ID=203631
2018-12-13 14:19:13,642 | Minor FoodIT | INFO | Record deleted ,ID=256786
2018-12-13 14:19:13,704 | Minor FoodIT | INFO | Record deleted ,ID=403645
2018-12-13 14:19:13,763 | Minor FoodIT | INFO | Record deleted ,ID=404917
2018-12-13 14:19:13,818 | Minor FoodIT | INFO | Record deleted ,ID=465375
