2018-12-13 20:51:09,538 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 20:51:09,539 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 20:51:09,540 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 20:51:09,540 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 20:51:09,540 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 20:52:27,323 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 20:52:27,323 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 20:52:27,324 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 20:52:27,324 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 20:52:27,324 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 20:55:28,633 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 20:55:28,633 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 20:55:28,635 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 20:55:28,635 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 20:55:28,635 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 21:00:53,307 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 21:00:53,307 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 21:00:53,308 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 21:00:53,308 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 21:00:53,308 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 21:01:45,595 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 21:01:45,595 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 21:01:45,596 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 21:01:45,596 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 21:01:45,597 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 21:12:57,063 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 21:12:57,063 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 21:12:57,064 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 21:12:57,064 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 21:12:57,064 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 21:20:28,947 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 21:20:28,947 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 21:20:28,948 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 21:20:28,948 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 21:20:28,948 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 21:20:31,135 | Minor FoodIT | INFO | Record created ,ID=332115
2018-12-13 21:20:31,269 | Minor FoodIT | INFO | Record created ,ID=332120
2018-12-13 21:20:31,394 | Minor FoodIT | INFO | Record created ,ID=332122
2018-12-13 21:20:31,515 | Minor FoodIT | INFO | Record created ,ID=333606
2018-12-13 21:20:31,669 | Minor FoodIT | INFO | Record created ,ID=333607
2018-12-13 21:20:31,786 | Minor FoodIT | INFO | Record created ,ID=333608
2018-12-13 21:20:31,918 | Minor FoodIT | INFO | Record created ,ID=333610
2018-12-13 21:20:32,028 | Minor FoodIT | INFO | Record created ,ID=333611
2018-12-13 21:20:32,143 | Minor FoodIT | INFO | Record created ,ID=333612
2018-12-13 21:20:35,082 | Minor FoodIT | INFO | Finished
